Created by A. Wyngaard in 2023,
year,cost
"The values below are in units of cents, where 100 cents = 1 rand",
2013-2014,93.57
2020-2021,167.24
2019-2020,156.45
2017-2018,124.98
2018-2019,135.3
2014-2015,101.12
2015-2016,115.52
2016-2017,124.59
2017-2018,124.98
2022-2023,213.98
