Created by A. Wyngaard in 2023,
year,DAYS
"The values below are in units of days, where 1 day = 24 hours",
year=2015,35
year=2016,
year=2017,
year=2018,6
year=2019,22
year=2020,35
year=2021,48
year=2022,120
year=2023,85
